,Unnamed: 0,id,screen_name,description,created_at,location,is_verified,latest_following_count,latest_followers_count,latest_status_count,array_agg,num_tweets
20,20,237348797,TGowdySC,Official account of U.S. Congressman Trey Gowdy. Representing the Fourth District of South Carolina.,2011-01-12 16:57:04,"Spartanburg, SC",t,458,510790,1716,"{congressperson,republican,republican}",1723.0
21,21,1045853744,RepLukeMesser,"Husband to a wonderful wife, father of three great kids, Congressman for Indiana's 6th Congressional District, lifelong Hoosier, and a die-hard #Colts fan.",2012-12-29 20:06:12,"Shelbyville, IN",t,838,9520,1620,"{congressperson,republican,republican}",1630.0
22,22,1071840474,RepSchneider,Proud to represent the people of Illinois's 10th Congressional District,2013-01-08 19:59:14,Illinois,t,712,4622,1266,"{congressperson,democrat}",1288.0
23,23,234822928,RepBobGibbs,R-OH https://t.co/2BckMkGpZV,2011-01-06 17:17:21,US Congress,t,2955,20741,2704,"{congressperson,republican,republican}",2699.0
24,24,818460870573441028,Rep_Tom_Garrett,,2017-01-09 14:14:12,,f,138,1536,207,"{congressperson,republican}",232.0
25,25,995193054,RepDelBene,U.S. Congresswoman representing Washington's 1st Congressional District (#WA01),2012-12-07 14:40:48,,t,1510,14546,3232,"{congressperson,democrat,democrat}",3253.0
26,26,19929362,RepJoeBarton,I work for the people of the 6th District of Texas and am honored to represent them in Washington.,2009-02-02 20:30:20,"Washington, D.C.",t,312,23187,1921,"{congressperson,republican,republican}",1928.0
27,27,15985455,GovPenceIN,This is an archive of former Indiana Governor Mike Pence's account.,2008-08-25 18:52:42,Indiana,t,885,235059,10277,"{governor,republican}",3339.0
28,28,234797704,AustinScottGA08,I am proud to represent the 8th Congressional District of Georgia.,2011-01-06 16:01:46,"Ashburn, GA",t,314,12636,1973,"{congressperson,republican,republican}",1975.0
29,29,248850174,RepMeehan,Proudly representing Pennsylvania's 7th District in the U.S. House of Representatives,2011-02-07 21:19:34,,t,951,14013,3882,"{congressperson,republican,republican}",3380.0
30,30,231592153,PhilBryantMS,A strong fiscal conservative dedicated to efficiency and accountability in government.,2010-12-28 23:30:49,Mississippi,t,878,40828,4103,"{governor,republican}",3396.0
31,31,975200486,RepThomasMassie,U.S. Representative for Kentucky's 4th District,2012-11-28 02:33:14,,t,614,30091,2066,"{congressperson,republican,republican}",2081.0
32,32,2975350155,RepMarkTakai,"Aloha!  Welcome to the official Twitter for Congressman Mark Takai (HI-01) -- husband, father, Hawaii National Guard veteran, public servant.",2015-01-12 21:41:39,"Honolulu / Washington, D.C.",t,1808,2785,711,"{congressperson,democrat}",711.0
33,33,1074101017,SusanWBrooks,Serving the good people of Indiana’s 5th District in Congress.,2013-01-09 15:30:38,,t,1038,11869,3102,"{congressperson,republican,republican}",3179.0
34,34,516880804,BettyMcCollum04,Proudly representing Minnesota's Fourth District in the United States House of Representatives.,2012-03-06 20:52:11,"St. Paul, MN",t,956,14102,4091,"{congressperson,democrat,democrat}",3976.0
35,35,818472418620608512,RepAlLawsonJr,"This is the official twitter account for U.S. Rep. Al Lawson, Jr., FL-5",2017-01-09 15:00:05,"Tallahassee, FL",t,345,763,74,"{congressperson,democrat}",79.0
36,36,6577802,RepTomPrice,"Former U.S. Representative for Georgia's 6th Congressional District. 

Current @HHSGov Secretary. Follow me @SecPriceMD.

This is an archived account.",2007-06-04 19:24:39,"Washington, D.C.",f,3207,40841,5340,"{congressperson,republican,republican}",3225.0
37,37,29201047,SenJeffMerkley,U.S. Senator from the State of Oregon. Instagram: https://t.co/pECsFBm1G1,2009-04-06 13:38:39,Oregon,t,527,93066,4430,"{senator,democrat,democrat}",4189.0
38,38,213795411,GovWalker,"Official Twitter Account of the 45th Governor of the State of Wisconsin, Scott Walker.",2010-11-09 20:35:32,Wisconsin,t,258,177607,9739,"{governor,republican}",4169.0
39,39,33537967,amyklobuchar,"U.S. Senator from Minnesota. Follows, Retweets, Replies ≠ endorsement",2009-04-20 14:59:36,,t,86032,150662,5308,"{democrat,senator,democrat}",3707.0
40,40,1058807868,RepDeSantis,The Official Twitter account for Congressman DeSantis. Proudly representing Florida's 6th District. Stay connected through Facebook at http://t.co/WKpKHHXK!,2013-01-03 21:20:17,,t,1410,14671,1957,"{congressperson,republican,republican}",1973.0
41,41,18023868,MassGovernor,Official account of Governor Charlie Baker of Massachusetts.,2008-12-10 17:06:17,Massachusetts,t,11114,202275,8244,"{governor,republican}",3905.0
42,42,2863006655,RepLawrence,"Congresswoman for Michigan's 14th District: Detroit, Southfield, Oakland and Wayne Counties.",2014-11-05 18:46:39,"Washington, DC",t,1060,6461,2827,"{congressperson,democrat,democrat}",2865.0
43,43,384913290,RepJohnYarmuth,"Official Twitter Account for Congressman John Yarmuth, representing the 3rd Congressional District of Kentucky.",2011-10-04 15:07:38,"Louisville, KY",t,355,18861,2545,"{congressperson,democrat,democrat}",2549.0
44,44,198526130,RepJoePitts,Joe Pitts represents the 16th Congressional District of Pennsylvania: http://t.co/NpQGE161wQ,2010-10-04 15:09:48,Pennsylvania,t,114,13342,1895,"{congressperson,republican}",1891.0
45,45,834069080,RepDavidRouzer,Congressman from North Carolina's 7th Congressional district,2012-09-19 20:23:15,,t,392,3888,491,"{congressperson,republican,republican}",494.0
46,46,479872233,RepRoybalAllard,"Congresswoman Lucille Roybal-Allard, proudly representing the 40th District of California. Follow me at http://t.co/KjVfmF9CaM & http://t.co/Urj0zPAr8d.",2012-01-31 21:30:43,,t,1710,13730,2927,"{congressperson,democrat,democrat}",2957.0
47,47,109287731,SenatorShaheen,Proud Granite Stater serving New Hampshire in the US Senate. Former Governor. Mother & Grandmother. Frequent Flyer. Pats & Red Sox Fan. Outdoor enthusiast.,2010-01-28 15:22:44,"Washington, DC",t,5542,48258,5024,"{senator,democrat,democrat}",3573.0
48,48,155669457,RepDavidEPrice,"I represent NC's 4th Congressional District, including parts of Orange, Wake, and Durham Counties.",2010-06-14 19:44:06,,t,2346,13328,2632,"{congressperson,democrat,democrat}",2646.0
49,49,37666984,nikkihaley,United States Ambassador to the United Nations,2009-05-04 14:10:21,South Carolina,t,141,247599,4209,"{governor,republican}",3352.0
50,50,2974648323,SteveKnight25,Proudly representing California's 25th Congressional District.,2015-01-12 13:24:19,,t,382,2594,299,"{congressperson,republican,republican}",311.0
51,51,266133081,SenDeanHeller,U.S. Senator Dean Heller,2011-03-14 18:31:08,Nevada,t,12046,41015,5522,"{senator,republican,republican}",3587.0
52,52,236916916,RepJimRenacci,Serving my fourth term representing the great people of the 16th district of Ohio in the House of Representatives,2011-01-11 17:20:35,,t,674,20258,3079,"{congressperson,republican,republican}",3086.0
53,53,38254095,DorisMatsui,Representing California's 6th Congressional District - including the capital city of Sacramento. Member of the Energy and Commerce Committee.,2009-05-06 19:20:50,"Sacramento, CA",t,8322,21354,2128,"{congressperson,democrat,democrat}",2140.0
54,54,19726613,SenatorCollins,"United States Senator from Maine. 

All tweets originate from the Press Office of Senator Susan Collins.",2009-01-29 18:56:59,Maine,t,954,79747,2032,"{republican,senator,republican}",2041.0
55,55,18166778,Jim_Jordan,Proudly serving Ohio's beautiful fourth district.,2008-12-16 17:20:24,"Washington, D.C. ",t,5239,49543,2144,"{congressperson,republican,republican}",2151.0
56,56,216481299,GovMarkDayton,"Check here for updates from the Office of Governor Mark Dayton, Minnesota's 40th Governor.",2010-11-16 21:08:36,"Saint Paul, MN",t,5468,70918,3408,"{governor,democrat}",3365.0
57,57,31801993,FrankPallone,"The official Twitter account of Congressman Frank Pallone, Jr. (D), of New Jersey's 6th district, Ranking Member of @EnergyCommerce Committee.",2009-04-16 13:51:56,#NJ,t,1273,21811,8369,"{congressperson,democrat,democrat}",4056.0
58,58,19028248,DavidVitter,U.S. Senator for the State of Louisiana https://t.co/7ZgsUS7JQF,2009-01-15 16:49:46,"Metairie, LA / D.C.",t,6443,34033,8413,"{senator,republican,republican}",3452.0
59,59,235217558,SenCoryGardner,Proudly serving the state of Colorado in the United States Senate. This is my official Senate Twitter account.,2011-01-07 17:02:56,Colorado,t,439,28945,3369,"{senator,republican,republican}",3374.0
60,60,2962923040,SenSasse,The press office account of U.S. Sen. Sasse. His (less political/hopefully more interesting) personal account is @ BenSasse.,2015-01-05 22:39:56,,t,1,49611,777,"{senator,republican,republican}",780.0
61,61,824281456079933442,RepBecerra,@RepBecerra followers: Please note that the official Twitter account for California Attorney General Xavier Becerra is now @AGBecerra.,2017-01-25 15:43:08,,f,0,25,1,"{congressperson,democrat,democrat}",1.0
62,62,24745957,RepHankJohnson,"I fight for justice, civil rights and working people the world over.",2009-03-16 18:52:49,"Lithonia, GA; Washington",t,732,24123,3466,"{congressperson,democrat,democrat}",3484.0
63,63,15856366,LamarSmithTX21,"I represent the 21st District of TX in Congress and Chair the Science, Space, and Technology Committee. Join me: https://t.co/mIljMWAOmi",2008-08-14 21:53:40,,t,3685,20491,2705,"{congressperson,republican,republican}",2721.0
64,64,117839957,hickforco,Colorado Governor John Hickenlooper's personal twitter account. Follow my official Governor's account @GovOfCO,2010-02-26 19:57:34,Colorado,t,576,82500,2737,"{governor,democrat}",2738.0
65,65,1060487274,RepDougCollins,"Working for Georgia's 9th Congressional District. Pastor, Attorney, Military Chaplain. Find me @HouseJudiciary when in session, beautiful #GA09 all other times.",2013-01-04 13:43:55,"Gainesville, Georgia",t,906,9727,2794,"{congressperson,republican,republican}",2803.0
66,66,29766367,RepSamGraves,Proudly representing Missouri's Sixth Congressional District,2009-04-08 17:20:43,,t,816,11555,6896,"{congressperson,republican,republican}",3262.0
67,67,221162525,SenToomey,Official Twitter account for Pat Toomey. Husband. Father. U.S. Senator for Pennsylvania.,2010-11-29 22:32:09,,t,1043,68041,3620,"{senator,republican,republican}",3345.0
68,68,240427862,RepMcKinley,Proud to serve the First District of West Virginia in the U.S. House of Representatives. Member of the Energy and Commerce Committee. Staff-run account,2011-01-19 22:29:00,,t,1027,20783,3908,"{congressperson,republican,republican}",3545.0
69,69,153486399,RepMarciaFudge,"I work on behalf of the people of the 11th District to create jobs, promote quality education, improve access to health care and protect civil rights for all.",2010-06-08 17:54:06,"Cleveland / Akron, OH",t,5323,26169,4672,"{congressperson,democrat,democrat}",3613.0
70,70,819744763020775425,RepJenniffer,official account by the Congresswoman of Puerto Rico representing 3.4 million U.S. citizens in Congress @HouseSmallBiz @HouseVetAffairs @NatResources @HouseGOP,2017-01-13 03:15:56,,f,185,1552,290,"{congressperson,republican}",360.0
71,71,2916086925,RepAdams,Congresswoman. Educator. Artist.,2014-12-11 19:54:07,,t,922,6812,2526,"{congressperson,democrat,democrat}",2578.0
72,72,236899846,RepRichardHanna,"A self-made businessman, husband and father committed to representing the people of New York's 22nd Congressional District.",2011-01-11 16:34:58,,t,557,12234,3298,"{congressperson,republican}",3245.0
73,73,1051127714,RepGraceMeng,"Representing NY's 6th Congressional District - Parts of West, Central and Northeast Queens.

For specific questions or concerns, please contact my office.",2012-12-31 20:28:41,,t,673,16215,3212,"{congressperson,democrat,democrat}",3226.0
74,74,235271965,RepStevePearce,I represent New Mexico's 2nd Congressional District.  I am fighting to create jobs in NM and voice New Mexicans' other concerns in Washington.,2011-01-07 19:44:44,"Hobbs, NM",t,793,9652,3649,"{congressperson,republican,republican}",3524.0
75,75,1074518754,SenatorBaldwin,"Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin. Tweets from Tammy are signed -TB.",2013-01-09 18:29:44,"Washington, D.C.",t,2689,36936,9287,"{senator,democrat,democrat}",4268.0
76,76,15394954,boblatta,Representing #OH5. Deputy Whip. Member of @HouseCommerce Committee. Chairman of the Digital Commerce & Consumer Protection Subcommittee.,2008-07-11 18:33:24,,t,5869,27833,5724,"{congressperson,republican,republican}",3341.0
77,77,248735463,RepBarbaraLee,"Progressive Democrat proudly representing the #EastBay CA-13 in Congress. Working to promote economic & racial justice, peace & human rights in the US & abroad.",2011-02-07 16:28:28,"Washington, D.C.",t,16412,103681,6202,"{congressperson,democrat,democrat}",3880.0
78,78,2303719598,GovMattMead,Official Twitter Account of Governor Matt Mead. Wyoming's 32nd Governor. http://t.co/ffUVx18jJp,2014-01-21 21:14:54,Wyoming,t,23,4047,476,"{governor,republican}",476.0
79,79,1128781184,RepMurphyFL,"Rep. Patrick E. Murphy represents Martin, St. Lucie, and northern Palm Beach counties in the U.S. House of Representatives.",2013-01-28 17:56:38,Florida 18,t,794,10707,1986,"{congressperson,democrat}",1984.0
80,80,2861616083,USRepGaryPalmer,Proudly serving the people of Alabama's 6th Congressional District.,2014-11-04 22:58:38,,t,881,5724,1555,"{congressperson,republican,republican}",1565.0
81,81,20552026,RepPerlmutter,"Member of Congress, proudly representing the 7th District of Colorado https://t.co/wLRJaGd9rX",2009-02-10 22:17:52,Colorado,t,4293,19783,3165,"{congressperson,democrat,democrat}",3190.0
82,82,41533245,aguilarpete,Dad. Husband. Former pothole filling Mayor and newly elected Representative of California's 31st district. Living the dream. Personal account,2009-05-21 05:04:40,"Redlands, CA",f,569,2225,721,"{congressperson,democrat,democrat}",720.0
83,83,1061292174,RepJeffMiller,Congressman Jeff Miller represents Florida's First Congressional District.  He serves as Chairman of the House VA Committee.,2013-01-04 20:01:32,"Chumuckla, FL/Washington, D.C.",t,107,3816,424,"{congressperson,republican}",424.0
85,85,432771620,RepSusanDavis,Proudly representing the 53rd Congressional District of California. Serves on Armed Services and Ed & Workforce Committees,2011-12-09 19:22:25,,t,102,11317,1509,"{congressperson,democrat,democrat}",1519.0
86,86,2966570782,RepRubenGallego,Proud representative of Arizona's 7th Congressional District,2015-01-07 19:31:08,"Phoenix, AZ",t,2397,15512,2241,"{congressperson,democrat,democrat}",2257.0
87,87,2847221717,RepRatcliffe,@HouseHomeland Cybersecurity Subcommittee Chairman & former federal prosecutor on @HouseJudiciary proudly representing Texas' 4th District. RTs ≠ endorsements,2014-10-27 20:20:35,"Heath, TX",t,551,5333,1501,"{congressperson,republican,republican}",1515.0
88,88,78445977,GerryConnolly,Proudly representing Virginia's 11th District,2009-09-29 23:17:33,Virginia's 11th District,t,237,20470,4862,"{congressperson,democrat,democrat}",3691.0
89,89,1243902714,JuliaBrownley26,U.S. Representative from California's 26th District.,2013-03-05 14:51:28,,t,592,7782,1261,"{congressperson,democrat,democrat}",1275.0
90,90,40302336,RepJerryNadler,Representing parts of Manhattan and Brooklyn. I serve on the House Judiciary + Transportation & Infrastructure committees. Follow me at http://t.co/eAS0pRYbYu,2009-05-15 18:37:39,"New York, NY",t,1583,42399,2912,"{congressperson,democrat,democrat}",2957.0
91,91,15361570,jaredpolis,"father, entrepreneur,education policy, baseball, tech, politics, gaymer - My day job is representing the most beautiful Congressional district in the country",2008-07-09 03:04:04,"Boulder, CO",t,4119,41859,5367,"{congressperson,democrat,democrat}",3564.0
92,92,234141596,GovMalloyOffice,Official account of the Office of Connecticut Governor Dannel P. Malloy. Tweets are from office staff.,2011-01-04 23:13:19,"Hartford, CT",t,869,110994,11042,"{governor,democrat}",3903.0
93,93,115676070,collinpeterson,"This is the official Twitter account for Peterson For Congress, the campaign to reelect Congressman Collin C. Peterson for the 7th District of Minnesota.",2010-02-19 14:27:10,7th District of Minnesota,f,288,1260,80,"{congressperson,democrat,democrat}",80.0
94,94,2433737761,RepHastingsFL,Congressman Alcee L. Hastings represents parts of Broward and Palm Beach counties in the U.S. House of Representatives.,2014-04-08 14:53:21,Florida 20th,t,66,11302,733,"{congressperson,democrat,democrat}",735.0
95,95,818536152588238849,RepGonzalez,,2017-01-09 19:13:21,,f,7,261,3,"{congressperson,democrat}",3.0
96,96,16056306,JeffFlake,Senator from Arizona,2008-08-30 17:00:58,"Mesa, AZ",t,210,49509,2015,"{senator,republican,republican}",2026.0
97,97,34340464,RandyNeugebauer,"Former U.S. Representative of the 19th District of Texas, proud husband, father and grandfather, and avid fisherman.",2009-04-22 17:46:22,"Lubbock, TX",t,3162,14434,3818,"{congressperson,republican}",3211.0
98,98,14845376,GrahamBlog,Twitter feed for U.S. Senator Lindsey Graham of South Carolina.,2008-05-20 13:57:21,"Washington, DC",t,2126,111236,4243,"{senator,republican,republican}",3249.0
99,99,1404269089,MattBevin,"Christian, Husband, Father, Veteran",2013-05-05 06:28:42,"Kentucky, USA",t,1157,28832,5190,"{governor,republican}",3365.0
100,100,13218102,JohnCornyn,Honored to represent the great state of Texas in the US Senate.,2008-02-07 19:52:55,"Austin, Texas",t,10965,100282,23136,"{republican,senator,republican}",4874.0
101,101,48086014,chakafattah,"Father. Husband. 20+year Former Congressman. Fattah Neuroscience Initiative ,GEARUP, AOTC & CORE Scholars / 25 Million + Helped /More to come !",2009-06-17 19:39:50,Philly,t,2024,12258,12927,"{congressperson,democrat}",3296.0
102,102,960962340,RepAndyHarrisMD,"Proud to serve the people of MD-1; Anesthesiologist; Father to Joe, Becky, Irene, Jessica, & Danny; Grandfather to Charles, Abigail, Arthur, & Andrew.",2012-11-20 18:31:27,Maryland's First District,t,598,9173,2527,"{congressperson,republican,republican}",2527.0
103,103,14275291,RosLehtinen,Blessed to rep beautiful South Florida and the wonderful folks who live here!,2008-04-01 14:59:30,"Miami, Florida",t,2147,92168,23580,"{congressperson,republican,republican}",4984.0
104,104,233949261,RepHuizenga,I serve the people of the 2nd District of Michigan. Member of Financial Services Committee. Father of 5. Visit http://t.co/Rj7T6mD76d for even more!,2011-01-04 14:01:28,,t,4506,14374,5465,"{congressperson,republican,republican}",3412.0
105,105,1155335864,RepDonaldPayne,Proudly serving New Jersey's 10th Congressional District,2013-02-06 22:52:35,www.facebook.com/DonaldPayneJr,t,960,7986,3683,"{congressperson,democrat,democrat}",3703.0
106,106,24735461,PeteSessions,I proudly represent the people of Texas' 32nd Congressional District and serve as the Chairman of the House Committee on Rules.,2009-03-16 17:54:52,,t,811,24957,5145,"{congressperson,republican,republican}",3510.0
107,107,18909919,JimLangevin,Congressman for Rhode Island's   Second District,2009-01-12 18:36:58,"Warwick, RI and Washington, DC",t,4299,16811,8313,"{congressperson,democrat,democrat}",3762.0
108,108,2696643955,RepMoolenaar,Representing Michigan's Fourth Congressional District. This is the Twitter page of the official House office.,2014-07-31 21:09:14,,t,328,4243,602,"{congressperson,republican,republican}",604.0
109,109,20597460,SenBillNelson,U.S. Sen. Bill Nelson is the senior senator from the state of Florida.,2009-02-11 15:44:25,"Florida/ Washington, D.C.",t,101,58072,589,"{democrat,senator,democrat}",590.0
110,110,39525554,GovernorBentley,Governor of Alabama. Won't accept a paycheck until AL reaches Full Employment. Physician. Dad. Papa. Great people make Alabama a #GreatState Tweets by Gov- GRB,2009-05-12 15:44:35,"Montgomery, AL",t,529,42244,7049,"{governor,republican}",3604.0
111,111,234014087,RepWilson,"Former educator & state legislator; founder & chair of FL Ports Caucus; founder of 5000 Role Models Project, a dropout prevention program for boys of color",2011-01-04 17:08:09,Washington DC,t,2968,16854,8018,"{congressperson,democrat,democrat}",3947.0
112,112,56864092,RepMikeQuigley,"#IL05 Congressman, House Appropriator, member of Intel Committee, amateur hockey player & hopeful Cubs fan http://t.co/zL9fkzy188  http://t.co/FMe57EKfsC",2009-07-15 00:10:43,"Chicago, IL; Washington, DC",t,2177,19702,7996,"{congressperson,democrat,democrat}",4100.0
113,113,48117116,SteveKingIA,Representing the 4th District of Iowa #IA04,2009-06-17 21:09:41,"Washington, DC",t,122,50937,1759,"{congressperson,republican,republican}",1766.0
114,114,172858784,timkaine,U.S. Senator from Virginia. Husband and father of 3. Avid reader and outdoorsman. Bluegrass and harmonica enthusiast.,2010-07-30 20:00:32,,t,744,526879,7722,"{senator,democrat,democrat}",3544.0
117,117,161791703,BobbyScott,"Proudly representing Virginia's 3rd Congressional District. Ranking Member, Committee on Education and the Workforce @edworkforcedems.",2010-07-01 19:57:00,"Newport News, VA",t,2712,20617,3656,"{congressperson,democrat,democrat}",3480.0
118,118,158398519,RepSamFarr,"Honored to serve CA's Central Coast in Congress. Returned @PeaceCorps Volunteer, amateur photographer & top Dem on House Agriculture Appropriations Subcommittee",2010-06-22 15:30:19,,t,1122,14531,3050,"{congressperson,democrat}",3051.0
119,119,131546062,FLGovScott,Florida's 45th Governor - My goal is to make Florida first in job creation.,2010-04-10 16:03:04,The Sunshine State,t,5618,87698,7223,"{governor,republican}",4247.0
120,120,2933760046,RepComstock,Honored To Represent Virginia’s 10th Congressional District. Attorney • Legislator • Mom,2014-12-20 15:03:37,Virginia's 10th CD,t,633,7654,1971,"{congressperson,republican,republican}",1986.0
121,121,88784440,SenMikeLee,I am a United States Senator from the great state of Utah. Please help me restore constitutional leadership to Washington!,2009-11-09 22:47:47,Utah,t,2424,302603,4068,"{senator,republican,republican}",3341.0
122,122,240760644,RepGosar,Rep. for Arizona's 4th Congressional District. Chairman of @westerncaucus & Subcommittee on Energy & Minerals @NatResources. Dentist impersonating a politician.,2011-01-20 17:44:27,,t,4537,22902,6892,"{congressperson,republican,republican}",3626.0
123,123,733672650120253440,JRutherfordFL,Congressman FL-04,2016-05-20 14:56:05,,f,327,1116,346,"{congressperson,republican}",346.0
124,124,976969338,RepDaveJoyce,"Father, husband, and former prosecutor proudly representing #OH14",2012-11-28 21:12:14," Washington, DC",t,2589,10032,3050,"{congressperson,republican,republican}",3060.0
125,125,787373558,RepCummings,"U.S. Representative from Maryland's 7th District, dedicated to serving and empowering the people I’m sworn to represent. RT's and Follows are not endorsements.",2012-08-28 16:37:01,"Baltimore, MD",t,1609,71212,4729,"{congressperson,democrat,democrat}",3761.0
126,126,2891165960,GovRicketts,40th Governor of Nebraska,2014-11-05 21:15:44,Nebraska,t,756,7513,2257,"{governor,republican}",2291.0
127,127,3018670151,RepPeteAguilar,"Pete Aguilar represents CA’s 31st Congressional District. A former mayor, Rep. Aguilar is committed to strengthening the Inland Empire’s middle class.",2015-02-04 21:01:23,"San Bernardino, CA",t,198,5192,939,"{congressperson,democrat,democrat}",948.0
128,128,1058717720,RepAnnieKuster,Honored to serve the people of New Hampshire’s Second District in Congress.,2013-01-03 20:29:22,NH's 2nd District,t,2515,10775,2440,"{congressperson,democrat,democrat}",2458.0
129,129,11651202,SteveDaines,Serving the people of Montana in the U.S. Senate.,2007-12-30 05:52:03,"Bozeman, MT",t,651,12816,4042,"{senator,republican,republican}",3911.0
130,130,950783972,RepBera,"Ami Bera M.D., representing Sacramento County, California #CA7 in the U.S. House of Representatives.",2012-11-16 01:39:54,"Elk Grove, California",t,125,17992,2341,"{congressperson,democrat,democrat}",2363.0
131,131,82453460,BennieGThompson,,2009-10-14 20:47:03,"Bolton, Mississippi",t,428,6488,750,"{congressperson,democrat,democrat}",747.0
132,132,299883942,CongPalazzo,I proudly represent the Fourth Congressional District of Mississippi. For more information on my work in Congress please visit http://t.co/Ue63OYLp.,2011-05-16 20:52:25,Mississippi ,t,1675,10229,1999,"{congressperson,republican,republican}",1998.0
133,133,267938462,RepZoeLofgren,"Member of Congress Proudly Representing CA's 19th Congressional District in Silicon Valley's cities of San Jose, Morgan Hill & Gilroy",2011-03-17 21:06:21,,t,104,19447,1712,"{congressperson,democrat,democrat}",1720.0
134,134,1222257180,RepCardenas,Proud to represent California's 29th District - the San Fernando Valley - in U.S. Congress. Member of @HouseCommerce; Democratic Assistant Whip.,2013-02-26 16:12:35,"San Fernando Valley, CA",t,1400,11388,6392,"{congressperson,democrat,democrat}",3479.0
135,135,555474658,SenThadCochran,Office of U.S. Senator Thad Cochran of Mississippi.,2012-04-16 22:33:23,,t,542,37530,1798,"{republican,senator,republican}",1808.0
136,136,1339931490,RepRobinKelly,"Official Twitter account for Robin Kelly, U.S. Representative #IL02.",2013-04-09 19:02:01,,t,1290,8316,1874,"{congressperson,democrat,democrat}",1888.0
137,137,946549322,SenatorHassan,This is the official Twitter account of U.S. Senator Maggie Hassan of New Hampshire.,2012-11-13 21:27:37,"Concord, NH",t,664,31184,3801,"{governor,democrat}",3836.0
138,138,22669526,RepGwenMoore,"Proudly representing Wisconsin’s 4th Congressional District; mother, grandmother; loves poetry, reading, knitting and crocheting.",2009-03-03 20:02:57,"Washington, DC",t,1522,20365,5088,"{congressperson,democrat,democrat}",3565.0
139,139,111635527,RepGeneGreen,Proudly serving the 29th Congressional District of Texas in Houston & East Harris County since 1993; Proud father of 2 & grandfather of 4; Texans & Astros fan,2010-02-05 16:37:13,"Houston, TX",t,474,13486,1155,"{congressperson,democrat,democrat}",1202.0
140,140,2966758114,RepRussell,Proudly serving the Fifth District of Oklahoma in Congress.,2015-01-07 21:24:35,Fifth District of Oklahoma,t,503,3406,298,"{congressperson,republican,republican}",298.0
141,141,34308692,GovJayNixon,"Missouri’s 55th Governor, lawyer, husband, and father.  Eternal optimist, sports fan, relentless booster for the outdoors and all things #Missouri",2009-04-22 15:53:51,,t,372,34341,5330,"{governor,democrat}",3551.0
142,142,210926192,RepCuellar,Serving the 28th District of Texas in U.S. House of Representatives,2010-11-01 20:20:17,"Laredo, Texas / Washington DC",t,2076,16488,4185,"{congressperson,democrat,democrat}",3466.0
143,143,20217019,dougducey,Governor of Arizona,2009-02-06 04:35:14,"Arizona, USA",t,974,26032,7490,"{governor,republican}",4668.0
144,144,24913074,RepSpeier,"Represents California's 14th Congressional District. House Armed Services Committee, House Permanent Select Committee on Intelligence. https://t.co/gGH33BRdP5",2009-03-17 17:02:38,,t,22163,45726,3489,"{congressperson,democrat,democrat}",3526.0
145,145,20467163,VernBuchanan,U.S. Congressman,2009-02-09 21:05:19,Florida's 16th District,t,10953,22333,2182,"{congressperson,republican,republican}",2182.0
146,146,88806753,RepGaramendi,"Congressman for California's 3rd Congressional District, former Lieutenant Governor, Insurance Commissioner, Deputy Interior Secretary, state legislator",2009-11-10 00:31:12,"Walnut Grove, CA",t,9061,18883,10342,"{congressperson,democrat,democrat}",3715.0
147,147,584012853,RepDLamborn,"Republican Congressman for Colorado's 5th Congressional District. For regular email updates, sign-up at https://t.co/aVNY6LkLMd",2012-05-18 16:01:17,Colorado Springs,t,873,10125,3290,"{congressperson,republican,republican}",3311.0
148,148,212262370,SenDanCoats,Former U.S. Senator of Indiana,2010-11-05 15:56:49,,t,663,41754,5137,"{senator,republican}",3233.0
149,149,404132211,RepRickLarsen,"Born and raised in Arlington, Wash.
Ranking Member, Aviation Subcommittee",2011-11-03 13:59:42,Washington's 2nd District,t,4770,14135,5182,"{congressperson,democrat,democrat}",3875.0
150,150,26778110,RepWalterJones,Congressman Walter B. Jones represents the Third Congressional District of North Carolina #NC03,2009-03-26 15:50:58,Eastern North Carolina,t,337,20260,1840,"{congressperson,republican,republican}",1844.0
151,151,108376246,LorettaSanchez,,2010-01-25 19:08:10,"Orange County, CA",t,11876,19844,2855,"{congressperson,democrat}",2853.0
152,152,339822881,McConnellPress,The Kentucky press office for Senator Mitch McConnell. For more information please visit his website:,2011-07-21 18:25:30,,t,325,74044,8852,"{senator,republican,republican}",3696.0
153,153,15600527,RepShimkus,I represent the 15th Congressional District of Illinois and Chair the @HouseCommerce Environment Subcommittee.,2008-07-25 17:01:16,,t,1080,21669,9272,"{congressperson,republican,republican}",3655.0
154,154,233737858,SenRonJohnson,Chairman of the Homeland Security and Governmental Affairs Committee & the Subcommittee on Europe & Regional Security Cooperation. Tweets from Ron are signed–rj,2011-01-04 00:25:27,"Oshkosh, WI",t,209,56453,3329,"{senator,republican,republican}",3358.0
155,155,278145569,MarshaBlackburn,I am honored to serve the people of Tennessee's 7th District.,2011-04-06 18:05:33,"Brentwood, TN",t,2485,30839,5243,"{congressperson,republican,republican}",3462.0
156,156,1058520120,SenDuckworth,"Official Twitter account for Tammy Duckworth's Senate office. Posts by staff unless signed - TD. For more information, visit",2013-01-03 18:59:33,,t,8236,60327,2350,"{congressperson,democrat,senator,democrat}",2404.0
